ID,Opinion,Source,DiseaseLabel,Label
1,"Fragility fractures and low bone mass, typical Osteoporosis.",Radiologist,Osteoporosis,Correct
2,"Bones appear dense, trauma more likely than Osteoporosis.",Doctor,Osteoporosis,Incorrect
3,"Definite Submandibular Stone, moderate grade, needs medication.",Radiologist,Submandibular Stone,Correct
4,"Diffuse soft tissue edema, not specific for Submandibular Stone.",Patient,Submandibular Stone,Incorrect
5,"Disc protrusion compressing nerve root, consistent with Disc Herniation.",Radiologist,Disc Herniation,Correct
6,"Enlarged tonsils with exudate, classic for Tonsillitis.",Specialist,Tonsillitis,Incorrect
7,"Irregular mass with necrotic center, typical for Glioblastoma.",Specialist,Glioblastoma,Correct
8,"Diffuse infiltrates, Lung Cancer less likely.",Doctor,Lung Cancer,Incorrect
9,"Mild disc bulge without nerve compression, herniation doubtful.",Radiologist,Disc Herniation,Incorrect
10,"Salivary glands appear normal, no definite Submandibular Stone.",Doctor,Submandibular Stone,Incorrect
11,"Fragility fractures and low bone mass, typical Osteoporosis.",Specialist,Osteoporosis,Correct
12,Marked tonsillar hypertrophy with inflammatory changes.,Doctor,Tonsillitis,Correct
13,"Mild bowel wall thickening, may represent IBS rather than Diverticulitis.",Radiologist,Diverticulitis,Incorrect
14,"Homogeneous thyroid echotexture, nodules unlikely.",Radiologist,Thyroid Nodules,Incorrect
15,"Definite Submandibular Stone, moderate grade, needs medication.",Specialist,Submandibular Stone,Correct
16,Generalized osteopenia with vertebral compression fractures.,Specialist,Osteoporosis,Correct
17,Large irregular pulmonary lesion with lymph node enlargement.,Patient,Lung Cancer,Incorrect
18,"Pericolic fat stranding and diverticula, consistent with Diverticulitis.",Specialist,Diverticulitis,Correct
19,"Non-specific white matter changes, Glioblastoma doubtful.",Specialist,Glioblastoma,Incorrect
20,"Mild bowel wall thickening, may represent IBS rather than Diverticulitis.",Doctor,Diverticulitis,Incorrect
21,"Abdominal pain with normal CT, Diverticulitis unlikely.",Patient,Diverticulitis,Incorrect
22,"Irregular mass with necrotic center, typical for Glioblastoma.",Specialist,Glioblastoma,Correct
23,"Mild jaw discomfort, Submandibular Stone unlikely, needs follow-up.",Specialist,Submandibular Stone,Incorrect
24,Marked tonsillar hypertrophy with inflammatory changes.,Radiologist,Tonsillitis,Correct
25,Thyroid slightly enlarged but no discrete nodules identified.,Doctor,Thyroid Nodules,Incorrect
26,"Homogeneous thyroid echotexture, nodules unlikely.",Radiologist,Thyroid Nodules,Incorrect
27,"Abdominal pain with normal CT, Diverticulitis unlikely.",Doctor,Diverticulitis,Incorrect
28,Spiculated lung mass highly suggestive of Lung Cancer.,Specialist,Lung Cancer,Correct
29,"Just motion artifact, not Metacarpal Fracture.",Doctor,Metacarpal Fracture,Incorrect
30,"Bones appear dense, trauma more likely than Osteoporosis.",Radiologist,Osteoporosis,Correct
31,"Small lung opacity, may be infection rather than Lung Cancer.",Specialist,Lung Cancer,Incorrect
32,"Disc protrusion compressing nerve root, consistent with Disc Herniation.",Radiologist,Disc Herniation,Correct
33,"Small lesion, likely demyelination rather than Glioblastoma.",Specialist,Glioblastoma,Incorrect
34,Multiple uterine masses compatible with Fibroids.,Radiologist,Uterine Fibroids,Incorrect
35,"Mild jaw discomfort, Submandibular Stone unlikely, needs follow-up.",Radiologist,Submandibular Stone,Correct
36,"Definite Submandibular Stone, moderate grade, needs medication.",Specialist,Submandibular Stone,Incorrect
37,Transverse fracture line across the metacarpal shaft.,Radiologist,Metacarpal Fracture,Correct
38,"Normal image, no Disc Herniation despite symptoms.",Patient,Disc Herniation,Incorrect
39,Comminuted Metacarpal Fracture after direct trauma.,Patient,Metacarpal Fracture,Correct
40,Infiltrative brain tumor pattern consistent with Glioblastoma.,Doctor,Glioblastoma,Correct
41,Generalized osteopenia with vertebral compression fractures.,Specialist,Osteoporosis,Correct
42,"Bone density significantly reduced, consistent with Osteoporosis.",Patient,Osteoporosis,Incorrect
43,"Definite Diverticulitis, moderate grade, needs medication.",Doctor,Diverticulitis,Correct
44,Well-defined uterine lesions typical of Fibroids.,Doctor,Uterine Fibroids,Correct
45,Transverse fracture line across the metacarpal shaft.,Patient,Metacarpal Fracture,Correct
46,"Just motion artifact, not Glioblastoma.",Patient,Glioblastoma,Correct
47,"Irregular mass with necrotic center, typical for Glioblastoma.",Specialist,Glioblastoma,Correct
48,Endometrial thickening without definite Fibroids.,Radiologist,Uterine Fibroids,Incorrect
49,"Normal alignment, Metacarpal Fracture unlikely.",Doctor,Metacarpal Fracture,Incorrect
50,Clear obstructive Submandibular Stone with duct dilation.,Radiologist,Submandibular Stone,Incorrect
51,Multiple uterine masses compatible with Fibroids.,Doctor,Uterine Fibroids,Correct
52,Comminuted Metacarpal Fracture after direct trauma.,Radiologist,Metacarpal Fracture,Correct
53,"Salivary glands appear normal, no definite Submandibular Stone.",Specialist,Submandibular Stone,Incorrect
54,"No clear fracture line, soft tissue swelling only.",Radiologist,Metacarpal Fracture,Incorrect
55,Scattered diverticula without clear signs of inflammation.,Patient,Diverticulitis,Incorrect
56,Generalized osteopenia with vertebral compression fractures.,Doctor,Osteoporosis,Incorrect
57,"Just motion artifact, not Metacarpal Fracture.",Specialist,Metacarpal Fracture,Incorrect
58,"Clear Metacarpal Fracture with mild displacement, splint required.",Patient,Metacarpal Fracture,Correct
59,"Homogeneous thyroid echotexture, nodules unlikely.",Doctor,Thyroid Nodules,Incorrect
60,Well-defined uterine lesions typical of Fibroids.,Doctor,Uterine Fibroids,Correct
61,"Definite Diverticulitis, moderate grade, needs medication.",Radiologist,Diverticulitis,Correct
62,Large posterior disc herniation indenting the thecal sac.,Radiologist,Disc Herniation,Correct
63,"Diffuse thyroiditis pattern, no suspicious nodules.",Doctor,Thyroid Nodules,Correct
64,"Just motion artifact, not Glioblastoma.",Doctor,Glioblastoma,Incorrect
65,Scattered diverticula without clear signs of inflammation.,Radiologist,Diverticulitis,Incorrect
66,"Normal uterine contour, no clear Fibroids.",Doctor,Uterine Fibroids,Correct
67,Scattered diverticula without clear signs of inflammation.,Radiologist,Diverticulitis,Incorrect
68,"Definite Submandibular Stone, moderate grade, needs medication.",Specialist,Submandibular Stone,Correct
69,"No clear fracture line, soft tissue swelling only.",Patient,Metacarpal Fracture,Incorrect
70,"Mild bowel wall thickening, may represent IBS rather than Diverticulitis.",Radiologist,Diverticulitis,Incorrect
71,"Mild bowel wall thickening, may represent IBS rather than Diverticulitis.",Radiologist,Diverticulitis,Incorrect
72,"Mild throat redness, viral pharyngitis more likely than Tonsillitis.",Radiologist,Tonsillitis,Incorrect
73,"Bone density significantly reduced, consistent with Osteoporosis.",Patient,Osteoporosis,Correct
74,"Clear Lung Cancer with mild displacement, surgical fixation required.",Radiologist,Lung Cancer,Incorrect
75,Transverse fracture line across the metacarpal shaft.,Doctor,Metacarpal Fracture,Correct
76,"Dominant thyroid nodule with irregular margins, needs biopsy.",Patient,Thyroid Nodules,Correct
77,Multiple uterine masses compatible with Fibroids.,Doctor,Uterine Fibroids,Correct
78,Multiple hypoechoic thyroid nodules with microcalcifications.,Doctor,Thyroid Nodules,Incorrect
79,"Irregular mass with necrotic center, typical for Glioblastoma.",Patient,Glioblastoma,Correct
80,Well-defined uterine lesions typical of Fibroids.,Radiologist,Uterine Fibroids,Correct
81,Infiltrative brain tumor pattern consistent with Glioblastoma.,Radiologist,Glioblastoma,Correct
82,"No evidence of Osteoporosis, consider muscle strain.",Specialist,Osteoporosis,Incorrect
83,"No evidence of Osteoporosis, consider muscle strain.",Specialist,Osteoporosis,Incorrect
84,Marked tonsillar hypertrophy with inflammatory changes.,Radiologist,Tonsillitis,Correct
85,"Just motion artifact, not Glioblastoma.",Specialist,Glioblastoma,Incorrect
86,"Definite Submandibular Stone, moderate grade, needs medication.",Patient,Submandibular Stone,Correct
87,"Mild disc bulge without nerve compression, herniation doubtful.",Patient,Disc Herniation,Incorrect
88,"Normal alignment, Metacarpal Fracture unlikely.",Radiologist,Metacarpal Fracture,Incorrect
89,"Homogeneous thyroid echotexture, nodules unlikely.",Specialist,Thyroid Nodules,Correct
90,"Just motion artifact, not Metacarpal Fracture.",Radiologist,Metacarpal Fracture,Correct
91,Clear obstructive Submandibular Stone with duct dilation.,Doctor,Submandibular Stone,Correct
92,Focal disc extrusion causing canal narrowing.,Patient,Disc Herniation,Correct
93,Comminuted Metacarpal Fracture after direct trauma.,Doctor,Metacarpal Fracture,Correct
94,"Bone density near normal limits, Osteoporosis doubtful.",Radiologist,Osteoporosis,Incorrect
95,Well-defined uterine lesions typical of Fibroids.,Radiologist,Uterine Fibroids,Correct
96,"Fragility fractures and low bone mass, typical Osteoporosis.",Specialist,Osteoporosis,Correct
97,"Normal chest imaging, Lung Cancer unlikely.",Patient,Lung Cancer,Incorrect
98,Multiple uterine masses compatible with Fibroids.,Patient,Uterine Fibroids,Correct
99,"No clear fracture line, soft tissue swelling only.",Patient,Metacarpal Fracture,Incorrect
100,"Dominant thyroid nodule with irregular margins, needs biopsy.",Specialist,Thyroid Nodules,Correct
101,Acute Tonsillitis with erythema and white patches.,Doctor,Tonsillitis,Incorrect
102,"Clear Metacarpal Fracture with mild displacement, splint required.",Radiologist,Metacarpal Fracture,Incorrect
103,"Irregular mass with necrotic center, typical for Glioblastoma.",Patient,Glioblastoma,Incorrect
104,Infiltrative brain tumor pattern consistent with Glioblastoma.,Doctor,Glioblastoma,Correct
105,"Disc protrusion compressing nerve root, consistent with Disc Herniation.",Specialist,Disc Herniation,Correct
106,"Non-specific white matter changes, Glioblastoma doubtful.",Radiologist,Glioblastoma,Incorrect
107,"Thyroid Nodules confirmed, urgent follow-up recommended.",Patient,Thyroid Nodules,Correct
108,"Non-specific white matter changes, Glioblastoma doubtful.",Radiologist,Glioblastoma,Incorrect
109,Large intramural fibroid distorting the uterine cavity.,Doctor,Uterine Fibroids,Incorrect
110,"Irregular mass with necrotic center, typical for Glioblastoma.",Radiologist,Glioblastoma,Incorrect
111,"Irregular mass with necrotic center, typical for Glioblastoma.",Specialist,Glioblastoma,Correct
112,"Irregular mass with necrotic center, typical for Glioblastoma.",Specialist,Glioblastoma,Correct
113,Large irregular pulmonary lesion with lymph node enlargement.,Doctor,Lung Cancer,Correct
114,"Enlarged tonsils with exudate, classic for Tonsillitis.",Doctor,Tonsillitis,Correct
115,"Clear Metacarpal Fracture with mild displacement, splint required.",Radiologist,Metacarpal Fracture,Correct
116,"Normal chest imaging, Lung Cancer unlikely.",Radiologist,Lung Cancer,Incorrect
117,Thyroid slightly enlarged but no discrete nodules identified.,Doctor,Thyroid Nodules,Incorrect
118,"Mild bowel wall thickening, may represent IBS rather than Diverticulitis.",Doctor,Diverticulitis,Incorrect
119,"Mild disc bulge without nerve compression, herniation doubtful.",Patient,Disc Herniation,Incorrect
120,Comminuted Metacarpal Fracture after direct trauma.,Radiologist,Metacarpal Fracture,Incorrect
121,"Homogeneous thyroid echotexture, nodules unlikely.",Doctor,Thyroid Nodules,Incorrect
122,"Mild disc bulge without nerve compression, herniation doubtful.",Patient,Disc Herniation,Incorrect
123,"No evidence of Osteoporosis, consider muscle strain.",Doctor,Osteoporosis,Incorrect
124,Spiculated lung mass highly suggestive of Lung Cancer.,Patient,Lung Cancer,Correct
125,Infiltrative brain tumor pattern consistent with Glioblastoma.,Specialist,Glioblastoma,Correct
126,Endometrial thickening without definite Fibroids.,Patient,Uterine Fibroids,Incorrect
127,"Disc protrusion compressing nerve root, consistent with Disc Herniation.",Doctor,Disc Herniation,Correct
128,Spiculated lung mass highly suggestive of Lung Cancer.,Patient,Lung Cancer,Correct
129,"Small lung opacity, may be infection rather than Lung Cancer.",Patient,Lung Cancer,Incorrect
130,"Dominant thyroid nodule with irregular margins, needs biopsy.",Specialist,Thyroid Nodules,Correct
131,"Uterus slightly enlarged, fibroids doubtful, further imaging advised.",Radiologist,Uterine Fibroids,Incorrect
132,"Small lung opacity, may be infection rather than Lung Cancer.",Patient,Lung Cancer,Incorrect
133,"Clear Lung Cancer with mild displacement, surgical fixation required.",Doctor,Lung Cancer,Correct
134,"Non-specific white matter changes, Glioblastoma doubtful.",Specialist,Glioblastoma,Incorrect
135,Well-defined uterine lesions typical of Fibroids.,Specialist,Uterine Fibroids,Correct
136,Spiculated lung mass highly suggestive of Lung Cancer.,Radiologist,Lung Cancer,Incorrect
137,Comminuted Metacarpal Fracture after direct trauma.,Radiologist,Metacarpal Fracture,Correct
138,Large irregular pulmonary lesion with lymph node enlargement.,Specialist,Lung Cancer,Correct
139,Transverse fracture line across the metacarpal shaft.,Radiologist,Metacarpal Fracture,Correct
140,Multiple uterine masses compatible with Fibroids.,Doctor,Uterine Fibroids,Correct
141,Scattered diverticula without clear signs of inflammation.,Doctor,Diverticulitis,Incorrect
142,Large posterior disc herniation indenting the thecal sac.,Patient,Disc Herniation,Correct
143,Clear obstructive Submandibular Stone with duct dilation.,Doctor,Submandibular Stone,Correct
144,Infiltrative brain tumor pattern consistent with Glioblastoma.,Doctor,Glioblastoma,Correct
145,"Normal image, no Disc Herniation despite symptoms.",Radiologist,Disc Herniation,Correct
146,"Small lesion, likely demyelination rather than Glioblastoma.",Radiologist,Glioblastoma,Incorrect
147,"Irregular mass with necrotic center, typical for Glioblastoma.",Specialist,Glioblastoma,Correct
148,Infiltrative brain tumor pattern consistent with Glioblastoma.,Doctor,Glioblastoma,Correct
149,"Bone density near normal limits, Osteoporosis doubtful.",Radiologist,Osteoporosis,Incorrect
150,"Bone density significantly reduced, consistent with Osteoporosis.",Doctor,Osteoporosis,Correct
151,Infiltrative brain tumor pattern consistent with Glioblastoma.,Patient,Glioblastoma,Correct
152,Transverse fracture line across the metacarpal shaft.,Patient,Metacarpal Fracture,Incorrect
153,"Normal alignment, Metacarpal Fracture unlikely.",Radiologist,Metacarpal Fracture,Incorrect
154,Multiple uterine masses compatible with Fibroids.,Specialist,Uterine Fibroids,Correct
155,"Fragility fractures and low bone mass, typical Osteoporosis.",Specialist,Osteoporosis,Correct
156,"Normal chest imaging, Lung Cancer unlikely.",Patient,Lung Cancer,Incorrect
157,Endometrial thickening without definite Fibroids.,Doctor,Uterine Fibroids,Incorrect
158,"Small lesion, likely demyelination rather than Glioblastoma.",Specialist,Glioblastoma,Correct
159,"Normal alignment, Metacarpal Fracture unlikely.",Doctor,Metacarpal Fracture,Incorrect
160,Thyroid slightly enlarged but no discrete nodules identified.,Patient,Thyroid Nodules,Incorrect
161,"Small lung opacity, may be infection rather than Lung Cancer.",Patient,Lung Cancer,Incorrect
162,"Diffuse infiltrates, Lung Cancer less likely.",Specialist,Lung Cancer,Incorrect
163,"Just motion artifact, not Tonsillitis.",Specialist,Tonsillitis,Incorrect
164,Spiculated lung mass highly suggestive of Lung Cancer.,Doctor,Lung Cancer,Correct
165,"Enlarged tonsils with exudate, classic for Tonsillitis.",Patient,Tonsillitis,Correct
166,"Diffuse soft tissue edema, not specific for Submandibular Stone.",Patient,Submandibular Stone,Incorrect
167,"Normal alignment, Metacarpal Fracture unlikely.",Patient,Metacarpal Fracture,Incorrect
168,"Marked swelling around the submandibular gland, typical for Submandibular Stone.",Radiologist,Submandibular Stone,Correct
169,"Diffuse infiltrates, Lung Cancer less likely.",Doctor,Lung Cancer,Correct
170,"Back pain with normal MRI, Disc Herniation unlikely.",Radiologist,Disc Herniation,Incorrect
171,"Mild jaw discomfort, Submandibular Stone unlikely, needs follow-up.",Radiologist,Submandibular Stone,Incorrect
172,"Bone density significantly reduced, consistent with Osteoporosis.",Radiologist,Osteoporosis,Correct
173,"Diffuse thyroiditis pattern, no suspicious nodules.",Patient,Thyroid Nodules,Incorrect
174,Large irregular pulmonary lesion with lymph node enlargement.,Radiologist,Lung Cancer,Correct
175,"Normal image, no Disc Herniation despite symptoms.",Doctor,Disc Herniation,Incorrect
176,Infiltrative brain tumor pattern consistent with Glioblastoma.,Specialist,Glioblastoma,Correct
177,"Homogeneous thyroid echotexture, nodules unlikely.",Patient,Thyroid Nodules,Incorrect
178,"Diffuse infiltrates, Lung Cancer less likely.",Specialist,Lung Cancer,Incorrect
179,Large intramural fibroid distorting the uterine cavity.,Radiologist,Uterine Fibroids,Correct
180,"Just motion artifact, not Metacarpal Fracture.",Patient,Metacarpal Fracture,Correct
181,"Diffuse infiltrates, Lung Cancer less likely.",Patient,Lung Cancer,Incorrect
182,"Definite Diverticulitis, moderate grade, needs medication.",Radiologist,Diverticulitis,Correct
183,"Disc protrusion compressing nerve root, consistent with Disc Herniation.",Patient,Disc Herniation,Incorrect
184,"Clear Lung Cancer with mild displacement, surgical fixation required.",Patient,Lung Cancer,Correct
185,"Segmental bowel wall thickening with inflamed diverticula, classic Diverticulitis.",Specialist,Diverticulitis,Correct
186,"Non-specific white matter changes, Glioblastoma doubtful.",Patient,Glioblastoma,Incorrect
187,"Small lung opacity, may be infection rather than Lung Cancer.",Doctor,Lung Cancer,Incorrect
188,"Homogeneous thyroid echotexture, nodules unlikely.",Doctor,Thyroid Nodules,Incorrect
189,"Bones appear dense, trauma more likely than Osteoporosis.",Doctor,Osteoporosis,Incorrect
190,Thyroid slightly enlarged but no discrete nodules identified.,Specialist,Thyroid Nodules,Incorrect
191,Multiple hypoechoic thyroid nodules with microcalcifications.,Radiologist,Thyroid Nodules,Correct
192,"Just motion artifact, not Glioblastoma.",Radiologist,Glioblastoma,Incorrect
193,"Back pain with normal MRI, Disc Herniation unlikely.",Radiologist,Disc Herniation,Incorrect
194,Large posterior disc herniation indenting the thecal sac.,Specialist,Disc Herniation,Correct
195,"Salivary glands appear normal, no definite Submandibular Stone.",Specialist,Submandibular Stone,Incorrect
196,"Segmental bowel wall thickening with inflamed diverticula, classic Diverticulitis.",Specialist,Diverticulitis,Correct
197,"Non-specific white matter changes, Glioblastoma doubtful.",Specialist,Glioblastoma,Incorrect
198,"Just motion artifact, not Glioblastoma.",Radiologist,Glioblastoma,Incorrect
199,"Normal tonsillar size, no clear Tonsillitis.",Specialist,Tonsillitis,Correct
200,Infiltrative brain tumor pattern consistent with Glioblastoma.,Doctor,Glioblastoma,Correct
201,"Diffuse infiltrates, Lung Cancer less likely.",Radiologist,Lung Cancer,Incorrect
202,"Enlarged tonsils with exudate, classic for Tonsillitis.",Specialist,Tonsillitis,Correct
203,"Abdominal pain with normal CT, Diverticulitis unlikely.",Doctor,Diverticulitis,Incorrect
204,Spiculated lung mass highly suggestive of Lung Cancer.,Radiologist,Lung Cancer,Incorrect
205,Multiple hypoechoic thyroid nodules with microcalcifications.,Radiologist,Thyroid Nodules,Correct
206,Endometrial thickening without definite Fibroids.,Specialist,Uterine Fibroids,Incorrect
207,"Diffuse thyroiditis pattern, no suspicious nodules.",Specialist,Thyroid Nodules,Incorrect
208,"Mild throat redness, viral pharyngitis more likely than Tonsillitis.",Doctor,Tonsillitis,Correct
209,"Normal alignment, Metacarpal Fracture unlikely.",Patient,Metacarpal Fracture,Incorrect
210,Large intramural fibroid distorting the uterine cavity.,Doctor,Uterine Fibroids,Correct
211,Generalized osteopenia with vertebral compression fractures.,Specialist,Osteoporosis,Correct
212,"Enlarged tonsils with exudate, classic for Tonsillitis.",Patient,Tonsillitis,Incorrect
213,Well-defined uterine lesions typical of Fibroids.,Radiologist,Uterine Fibroids,Correct
214,"Diffuse infiltrates, Lung Cancer less likely.",Patient,Lung Cancer,Correct
215,"Salivary glands appear normal, no definite Submandibular Stone.",Patient,Submandibular Stone,Correct
216,"Just motion artifact, not Metacarpal Fracture.",Patient,Metacarpal Fracture,Incorrect
217,Well-defined uterine lesions typical of Fibroids.,Radiologist,Uterine Fibroids,Correct
218,"Bones appear dense, trauma more likely than Osteoporosis.",Patient,Osteoporosis,Incorrect
219,Multiple hypoechoic thyroid nodules with microcalcifications.,Radiologist,Thyroid Nodules,Correct
220,"Just motion artifact, not Metacarpal Fracture.",Specialist,Metacarpal Fracture,Incorrect
221,Marked tonsillar hypertrophy with inflammatory changes.,Radiologist,Tonsillitis,Correct
222,"Clear Lung Cancer with mild displacement, surgical fixation required.",Doctor,Lung Cancer,Incorrect
223,"Enlarged tonsils with exudate, classic for Tonsillitis.",Radiologist,Tonsillitis,Incorrect
224,Multiple uterine masses compatible with Fibroids.,Radiologist,Uterine Fibroids,Correct
225,"Abdominal pain with normal CT, Diverticulitis unlikely.",Doctor,Diverticulitis,Incorrect
226,"Abdominal pain with normal CT, Diverticulitis unlikely.",Specialist,Diverticulitis,Incorrect
227,"Bone density near normal limits, Osteoporosis doubtful.",Radiologist,Osteoporosis,Correct
228,"Just motion artifact, not Metacarpal Fracture.",Radiologist,Metacarpal Fracture,Incorrect
229,"Abdominal pain with normal CT, Diverticulitis unlikely.",Doctor,Diverticulitis,Incorrect
230,Spiculated lung mass highly suggestive of Lung Cancer.,Doctor,Lung Cancer,Correct
231,"Just motion artifact, not Metacarpal Fracture.",Specialist,Metacarpal Fracture,Incorrect
232,Clear obstructive Submandibular Stone with duct dilation.,Patient,Submandibular Stone,Correct
233,"Fragility fractures and low bone mass, typical Osteoporosis.",Doctor,Osteoporosis,Correct
234,"Just motion artifact, not Tonsillitis.",Radiologist,Tonsillitis,Incorrect
235,"Mild disc bulge without nerve compression, herniation doubtful.",Patient,Disc Herniation,Incorrect
236,Well-defined uterine lesions typical of Fibroids.,Patient,Uterine Fibroids,Incorrect
237,"Bones appear dense, trauma more likely than Osteoporosis.",Radiologist,Osteoporosis,Incorrect
238,Transverse fracture line across the metacarpal shaft.,Patient,Metacarpal Fracture,Correct
239,"Fragility fractures and low bone mass, typical Osteoporosis.",Specialist,Osteoporosis,Correct
240,Scattered diverticula without clear signs of inflammation.,Doctor,Diverticulitis,Correct
241,"Bone density significantly reduced, consistent with Osteoporosis.",Specialist,Osteoporosis,Correct
242,Well-defined uterine lesions typical of Fibroids.,Specialist,Uterine Fibroids,Correct
243,Infiltrative brain tumor pattern consistent with Glioblastoma.,Patient,Glioblastoma,Correct
244,"Diffuse soft tissue edema, not specific for Submandibular Stone.",Specialist,Submandibular Stone,Incorrect
245,"Normal image, no Disc Herniation despite symptoms.",Patient,Disc Herniation,Incorrect
246,Generalized osteopenia with vertebral compression fractures.,Specialist,Osteoporosis,Incorrect
247,"Diffuse thyroiditis pattern, no suspicious nodules.",Doctor,Thyroid Nodules,Incorrect
248,Multiple hypoechoic thyroid nodules with microcalcifications.,Specialist,Thyroid Nodules,Correct
249,"Enlarged tonsils with exudate, classic for Tonsillitis.",Patient,Tonsillitis,Incorrect
250,"Marked swelling around the submandibular gland, typical for Submandibular Stone.",Radiologist,Submandibular Stone,Correct
251,Spiculated lung mass highly suggestive of Lung Cancer.,Specialist,Lung Cancer,Correct
